Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,8,Mika Hakkinen,McLaren-Mercedes,58,1:31'45.996,1,10
2,7,David Coulthard,McLaren-Mercedes,58,+0.702,2,6
3,2,Heinz-Harald Frentzen,Williams-Mecachrome,57,+1 Lap,6,4
4,4,Eddie Irvine,Ferrari,57,+1 Lap,8,3
5,1,Jacques Villeneuve,Williams-Mecachrome,57,+1 Lap,4,2
6,15,Johnny Herbert,Sauber-Petronas,57,+1 Lap,5,1
7,6,Alexander Wurz,Benetton-Playlife,57,+1 Lap,11,
8,9,Damon Hill,Jordan-Mugen-Honda,57,+1 Lap,10,
9,11,Olivier Panis,Prost-Peugeot,57,+1 Lap,21,
Ret,5,Giancarlo Fisichella,Benetton-Playlife,43,Broken Wing,7,
Ret,14,Jean Alesi,Sauber-Petronas,41,Engine,12,
Ret,12,Jarno Trulli,Prost-Peugeot,26,Gearbox,15,
Ret,20,Ricardo Rosset,Tyrrell-Ford,25,Gearbox,19,
Ret,17,Mika Salo,Arrows,23,Gearbox,16,
Ret,23,Estaban Tuero,Minardi-Ford,22,Engine,17,
Ret,22,Shinji Nakano,Minardi-Ford,8,Halfshaft,22,
Ret,3,Michael Schumacher,Ferrari,5,Engine,3,
Ret,16,Pedro Diniz,Arrows,2,Gearbox,20,
Ret,10,Ralf Schumacher,Jordan-Mugen-Honda,1,Collision,9,
Ret,19,Jan Magnussen,Stewart-Ford,1,Collision,18,
Ret,21,Toranosuke Takagi,Tyrrell-Ford,1,Spun off,13,
Ret,18,Rubens Barrichello,Stewart-Ford,0,Gearbox,14,
