Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Sebastian Vettel,Red Bull Racing-Renault,56,1:37:39.832,1,25
2,4,Jenson Button,McLaren-Mercedes,56,+3.2 secs,4,18
3,9,Nick Heidfeld,Renault,56,+25.0 secs,6,15
4,2,Mark Webber,Red Bull Racing-Renault,56,+26.3 secs,3,12
5,6,Felipe Massa,Ferrari,56,+36.9 secs,7,10
6,5,Fernando Alonso,Ferrari,56,+57.2 secs,5,8
7,16,Kamui Kobayashi,Sauber-Ferrari,56,+66.4 secs,10,6
8,3,Lewis Hamilton,McLaren-Mercedes,56,+69.9 secs,2,4
9,7,Michael Schumacher,Mercedes,56,+84.8 secs,11,2
10,15,Paul di Resta,Force India-Mercedes,56,+91.5 secs,14,1
11,14,Adrian Sutil,Force India-Mercedes,56,+101.3 secs,17,
12,8,Nico Rosberg,Mercedes,55,+1 Lap,9,
13,18,Sebastien Buemi,STR-Ferrari,55,+1 Lap,12,
14,19,Jaime Alguersuari,STR-Ferrari,55,+1 Lap,13,
15,20,Heikki Kovalainen,Lotus-Renault,55,+1 Lap,19,
16,24,Timo Glock,Virgin-Cosworth,54,+2 Laps,21,
17,10,Vitaly Petrov,Renault,52,Accident,8,
Ret,23,Vitantonio Liuzzi,HRT-Cosworth,46,Rear wing issue,23,
Ret,25,Jerome D'Ambrosio,Virgin-Cosworth,42,Accident,22,
Ret,21,Jarno Trulli,Lotus-Renault,31,Clutch,20,
Ret,17,Sergio Perez,Sauber-Ferrari,23,Accident,16,
Ret,11,Rubens Barrichello,Williams-Cosworth,22,Hydraulics,15,
Ret,22,Narain Karthikeyan,HRT-Cosworth,14,Hydraulics,24,
Ret,12,Pastor Maldonado,Williams-Cosworth,8,Engine misfire,18,
