Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Sebastian Vettel,Red Bull Racing-Renault,53,1:18:33.352,1,25
2,3,Fernando Alonso,Ferrari,53,+5.4 secs,5,18
3,2,Mark Webber,Red Bull Racing-Renault,53,+6.3 secs,2,15
4,4,Felipe Massa,Ferrari,53,+9.3 secs,4,12
5,11,Nico Hulkenberg,Sauber-Ferrari,53,+10.3 secs,3,10
6,9,Nico Rosberg,Mercedes,53,+10.9 secs,6,8
7,19,Daniel Ricciardo,STR-Ferrari,53,+32.3 secs,7,6
8,8,Romain Grosjean,Lotus-Renault,53,+33.1 secs,13,4
9,10,Lewis Hamilton,Mercedes,53,+33.5 secs,12,2
10,5,Jenson Button,McLaren-Mercedes,53,+38.3 secs,9,1
11,7,Kimi Räikkönen,Lotus-Renault,53,+38.6 secs,11,
12,6,Sergio Perez,McLaren-Mercedes,53,+39.7 secs,8,
13,12,Esteban Gutierrez,Sauber-Ferrari,53,+40.8 secs,16,
14,16,Pastor Maldonado,Williams-Renault,53,+49.0 secs,14,
15,17,Valtteri  Bottas,Williams-Renault,53,+56.8 secs,18,
16,15,Adrian Sutil,Force India-Mercedes,52,Brakes,17,
17,20,Charles Pic,Caterham-Renault,52,+1 Lap,20,
18,21,Giedo van der Garde,Caterham-Renault,52,+1 Lap,19,
19,22,Jules Bianchi,Marussia-Cosworth,52,+1 Lap,21,
20,23,Max Chilton,Marussia-Cosworth,52,+1 Lap,22,
Ret,18,Jean-Eric Vergne,STR-Ferrari,14,Transmission,10,
Ret,14,Paul di Resta,Force India-Mercedes,0,Accident,15,
