Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,8,Fernando Alonso,Ferrari,53,1:16:24.572,1,25
2,1,Jenson Button,McLaren-Mercedes,53,+2.9 secs,2,18
3,7,Felipe Massa,Ferrari,53,+4.2 secs,3,15
4,5,Sebastian Vettel,RBR-Renault,53,+28.1 secs,6,12
5,4,Nico Rosberg,Mercedes GP,53,+29.9 secs,7,10
6,6,Mark Webber,RBR-Renault,53,+31.2 secs,4,8
7,10,Nico Hulkenberg,Williams-Cosworth,53,+32.8 secs,8,6
8,11,Robert Kubica,Renault,53,+34.0 secs,9,4
9,3,Michael Schumacher,Mercedes GP,53,+44.9 secs,12,2
10,9,Rubens Barrichello,Williams-Cosworth,53,+64.2 secs,10,1
11,16,Sebastien Buemi,STR-Ferrari,53,+65.0 secs,14,
12,15,Vitantonio Liuzzi,Force India-Mercedes,53,+66.1 secs,19,
13,12,Vitaly Petrov,Renault,53,+78.9 secs,20,
14,22,Pedro de la Rosa,BMW Sauber-Ferrari,52,+1 Lap,16,
15,17,Jaime Alguersuari,STR-Ferrari,52,+1 Lap,15,
16,14,Adrian Sutil,Force India-Mercedes,52,+1 Lap,11,
17,24,Timo Glock,Virgin-Cosworth,51,+2 Laps,24,
18,19,Heikki Kovalainen,Lotus-Cosworth,51,+2 Laps,18,
19,20,Sakon Yamamoto,HRT-Cosworth,51,+2 Laps,23,
20,25,Lucas di Grassi,Virgin-Cosworth,50,+3 Laps,21,
Ret,18,Jarno Trulli,Lotus-Cosworth,46,Gearbox,17,
Ret,21,Bruno Senna,HRT-Cosworth,11,Hydraulics,22,
Ret,2,Lewis Hamilton,McLaren-Mercedes,0,Accident,5,
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,0,Gearbox,13,
