Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,6,Felipe Massa,Ferrari,58,1:28:51.082,1,10
2,1,Fernando Alonso,Renault,58,+5.5 secs,3,8
3,5,Michael Schumacher,Ferrari,58,+5.6 secs,2,6
4,12,Jenson Button,Honda,58,+12.3 secs,6,5
5,4,Pedro de la Rosa,McLaren-Mercedes,58,+45.9 secs,11,4
6,2,Giancarlo Fisichella,Renault,58,+46.5 secs,4,3
7,7,Ralf Schumacher,Toyota,58,+59.3 secs,15,2
8,11,Rubens Barrichello,Honda,58,+60.0 secs,13,1
9,8,Jarno Trulli,Toyota,57,+1 Lap,12,
10,9,Mark Webber,Williams-Cosworth,57,+1 Lap,9,
11,15,Christian Klien,RBR-Ferrari,57,+1 Lap,10,
12,17,Robert Kubica,Sauber-BMW,57,+1 Lap,8,
13,21,Scott Speed,STR-Cosworth,57,+1 Lap,17,
14,16,Nick Heidfeld,Sauber-BMW,56,+2 Laps,5,
15,14,David Coulthard,RBR-Ferrari,55,+3 Laps,16,
Ret,19,Christijan Albers,MF1-Toyota,46,Accident,22,
NC,22,Takuma Sato,Super Aguri-Honda,41,+17 Laps,21,
Ret,10,Nico Rosberg,Williams-Cosworth,25,Water pressure,14,
Ret,23,Sakon Yamamoto,Super Aguri-Honda,23,Spin,20,
Ret,20,Vitantonio Liuzzi,STR-Cosworth,12,Spin,18,
Ret,3,Kimi Räikkönen,McLaren-Mercedes,1,Accident,7,
Ret,18,Tiago Monteiro,MF1-Toyota,0,Accident,19,
