Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,6,Felipe Massa,Ferrari,71,1:31:53.751,1,10
2,1,Fernando Alonso,Renault,71,+18.6 secs,4,8
3,12,Jenson Button,Honda,71,+19.3 secs,14,6
4,5,Michael Schumacher,Ferrari,71,+24.0 secs,10,5
5,3,Kimi Räikkönen,McLaren-Mercedes,71,+28.5 secs,2,4
6,2,Giancarlo Fisichella,Renault,71,+30.2 secs,6,3
7,11,Rubens Barrichello,Honda,71,+40.2 secs,5,2
8,4,Pedro de la Rosa,McLaren-Mercedes,71,+52.0 secs,12,1
9,17,Robert Kubica,Sauber-BMW,71,+67.6 secs,9,
10,22,Takuma Sato,Super Aguri-Honda,70,+1 Lap,19,
11,21,Scott Speed,STR-Cosworth,70,+1 Lap,16,
12,15,Robert Doornbos,RBR-Ferrari,70,+1 Lap,22,
13,20,Vitantonio Liuzzi,STR-Cosworth,70,+1 Lap,15,
14,19,Christijan Albers,MF1-Toyota,70,+1 Lap,17,
15,18,Tiago Monteiro,MF1-Toyota,69,+2 Laps,21,
16,23,Sakon Yamamoto,Super Aguri-Honda,69,+2 Laps,20,
17,16,Nick Heidfeld,Sauber-BMW,63,Accident,8,
Ret,14,David Coulthard,RBR-Ferrari,14,Gearbox,18,
Ret,8,Jarno Trulli,Toyota,10,Suspension,3,
Ret,7,Ralf Schumacher,Toyota,9,Suspension,7,
Ret,9,Mark Webber,Williams-Cosworth,1,Accident,11,
Ret,10,Nico Rosberg,Williams-Cosworth,0,Accident,13,
