Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Michael Schumacher,Ferrari,73,1:34:35.199,1,10
2,6,Felipe Massa,Ferrari,73,+7.9 secs,2,8
3,2,Giancarlo Fisichella,Renault,73,+16.5 secs,3,6
4,8,Jarno Trulli,Toyota,73,+23.6 secs,22,5
5,1,Fernando Alonso,Renault,73,+28.4 secs,5,4
6,11,Rubens Barrichello,Honda,73,+36.5 secs,4,3
7,14,David Coulthard,RBR-Ferrari,72,+1 Lap,17,2
8,20,Vitantonio Liuzzi,STR-Cosworth,72,+1 Lap,21,1
9,10,Nico Rosberg,Williams-Cosworth,72,+1 Lap,22,
Ret,7,Ralf Schumacher,Toyota,62,+11 Laps,8,
Ret,19,Christijan Albers,MF1-Toyota,37,Transmission,14,
Ret,17,Jacques Villeneuve,Sauber-BMW,23,Engine,6,
Ret,18,Tiago Monteiro,MF1-Toyota,9,Accident damage,15,
Ret,22,Takuma Sato,Super Aguri-Honda,6,Accident,18,
Ret,12,Jenson Button,Honda,3,Accident damage,7,
Ret,3,Kimi Räikkönen,McLaren-Mercedes,0,Accident,9,
Ret,16,Nick Heidfeld,Sauber-BMW,0,Accident,10,
Ret,4,Juan Pablo Montoya,McLaren-Mercedes,0,Accident,11,
Ret,9,Mark Webber,Williams-Cosworth,0,Accident,12,
Ret,21,Scott Speed,STR-Cosworth,0,Accident,13,
Ret,15,Christian Klien,RBR-Ferrari,0,Accident,16,
Ret,23,Franck Montagny,Super Aguri-Honda,0,Accident,20,
