Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,3,Jenson Button,McLaren-Mercedes,44,1:29:08.530,1,25
2,1,Sebastian Vettel,Red Bull Racing-Renault,44,+13.6 secs,10,18
3,9,Kimi Räikkönen,Lotus-Renault,44,+25.3 secs,3,15
4,12,Nico Hulkenberg,Force India-Mercedes,44,+27.8 secs,11,12
5,6,Felipe Massa,Ferrari,44,+29.8 secs,14,10
6,2,Mark Webber,Red Bull Racing-Renault,44,+31.2 secs,12,8
7,7,Michael Schumacher,Mercedes,44,+53.3 secs,13,6
8,17,Jean-Eric Vergne,STR-Ferrari,44,+58.8 secs,15,4
9,16,Daniel Ricciardo,STR-Ferrari,44,+62.9 secs,16,2
10,11,Paul di Resta,Force India-Mercedes,44,+63.7 secs,9,1
11,8,Nico Rosberg,Mercedes,44,+65.1 secs,23,
12,19,Bruno Senna,Williams-Renault,44,+71.5 secs,17,
13,14,Kamui Kobayashi,Sauber-Ferrari,43,+1 Lap,2,
14,21,Vitaly Petrov,Caterham-Renault,43,+1 Lap,19,
15,24,Timo Glock,Marussia-Cosworth,43,+1 Lap,20,
16,25,Charles Pic,Marussia-Cosworth,43,+1 Lap,22,
17,20,Heikki Kovalainen,Caterham-Renault,43,+1 Lap,18,
18,22,Pedro de la Rosa,HRT-Cosworth,43,+1 Lap,21,
Ret,23,Narain Karthikeyan,HRT-Cosworth,29,Accident,24,
Ret,18,Pastor Maldonado,Williams-Renault,4,Accident,6,
Ret,15,Sergio Perez,Sauber-Ferrari,0,Accident,4,
Ret,5,Fernando Alonso,Ferrari,0,Accident,5,
Ret,4,Lewis Hamilton,McLaren-Mercedes,0,Accident,7,
Ret,10,Romain Grosjean,Lotus-Renault,0,Accident,8,
